,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année
90,Enquêtes archéologiques,7.6,Émission TV de   Agnès Molia et   Nathalie Laville,['documentaire'],2.0,Arte,25.0,"['18', 'juin', '2016']",juin,2016
91,Mobile Suit Gundam Unicorn,7.8,Anime (OAV) de   Kazuhiro Furuhashi,['animation'],1.0,Inconnue,25.0,"['20', 'février', '2010']",février,2010
92,The Ricky Gervais Show,7.5,"Série de   Ricky Gervais,   Stephen Merchant et   Karl Pilkington","['comédie', 'animation']",3.0,HBO,25.0,"['19', 'février', '2010']",février,2010
93,Arakawa Under the Bridge,7.1,Anime de   Yukihiro Yamamoto,"['romance', 'comédie', 'animation']",Inconnu,TV Tokyo,25.0,"['4', 'avril', '2010']",avril,2010
94,Persons Unknown,5.7,Série de   Christopher McQuarrie,"['drame', 'thriller']",1.0,NBC,45.0,"['7', 'juin', '2010']",juin,2010
95,Black Mirror,8.1,Série de   Charlie Brooker,"['science-fiction', 'thriller', 'anthologique']",5.0,Netflix,60.0,"['4', 'décembre', '2011']",décembre,2011
96,Bref.,7.2,Série de   Bruno Muschio et   Kyan Khojandi,"['comédie', 'mini-série']",1.0,Canal+,2.0,"['28', 'août', '2011']",août,2011
97,Homeland,7.0,Série de   Alex Gansa et   Howard Gordon,"['thriller', 'action', 'drame']",8.0,Showtime,50.0,"['2', 'octobre', '2011']",octobre,2011
98,American Horror Story,7.0,Série de   Ryan Murphy et   Brad Falchuk,"['thriller', 'épouvante-horreur', 'anthologique']",9.0,FX,45.0,"['6', 'février', '2011']",février,2011
99,Person of Interest,6.6,Série de   Jonathan Nolan,"['action', 'aventure', 'drame']",5.0,CBS,43.0,"['22', 'septembre', '2011']",septembre,2011
100,Suits : Avocats sur mesure,7.0,Série de   Aaron Korsh,"['judiciaire', 'comédie', 'drame']",9.0,USA Network,45.0,"['23', 'juin', '2011']",juin,2011
101,The Killing (US),7.6,Série de   Veena Sud,"['thriller', 'policier', 'drame']",4.0,Netflix,50.0,"['3', 'avril', '2011']",avril,2011
102,New Girl,6.6,Série de   Elizabeth Meriwether,['comédie'],7.0,FOX (US),25.0,"['20', 'septembre', '2011']",septembre,2011
103,Hunter x Hunter,8.1,Anime de   Hiroshi Koujina et   Yoshihiro Togashi,"['shōnen', 'comédie', 'aventure']",Inconnu,NTV (JP),25.0,"['2', 'octobre', '2011']",octobre,2011
104,Once Upon a Time,5.6,Série de   Adam Horowitz et   Edward Kitsis,"['aventure', 'drame', 'fantasy']",7.0,ABC (US),43.0,"['23', 'octobre', '2011']",octobre,2011
105,Platane,6.3,Série de   Hafid F. Benamar et   Eric Judor,['comédie'],3.0,Canal+,25.0,"['5', 'septembre', '2011']",septembre,2011
106,Falling Skies,5.6,Série de   Robert Rodat,"['science-fiction', 'thriller', 'action']",5.0,TNT (US),45.0,"['19', 'juin', '2011']",juin,2011
107,Hell on Wheels,7.0,Série de   Joe Gayton et   Tony Gayton,"['western', 'drame', 'action']",5.0,AMC,45.0,"['6', 'novembre', '2011']",novembre,2011
108,Bron,7.8,"Série de   Hans Rosenfeldt,   Björn Stein,   Henrik Georgsson...","['policier', 'drame']",4.0,DR1,60.0,"['21', 'septembre', '2011']",septembre,2011
109,Grimm,5.9,"Série de   Stephen Carpenter,   David Greenwalt et   Jim Kouf","['fantastique', 'épouvante-horreur', 'drame']",6.0,NBC,43.0,"['28', 'octobre', '2011']",octobre,2011
110,Steins;Gate,8.0,"Anime de   Kobayashi Tomoki,   HUKE,   Kyūta Sakai...","['drame', 'comédie', 'romance']",1.0,TV Tokyo,25.0,"['6', 'avril', '2011']",avril,2011
111,Very Bad Blagues,7.2,Émission TV de   Palmashow,"['comédie', 'mini-série']",Inconnu,Direct 8,5.0,"['21', 'mars', '2011']",mars,2011
112,Spartacus : Les Dieux de l'arène,6.9,Série de   Steven S. DeKnight,"['drame', 'action']",1.0,Starz,55.0,"['21', 'janvier', '2011']",janvier,2011
113,Terra Nova,4.7,Série de   Kelly Marcel et   Craig Silverstein,"['action', 'aventure', 'fantasy']",1.0,FOX (US),45.0,"['26', 'septembre', '2011']",septembre,2011
114,Teen Wolf,5.4,Série de   Jeff Davis,"['action', 'aventure', 'comédie']",6.0,MTV (US),42.0,"['5', 'juin', '2011']",juin,2011
115,The Booth at the End,7.7,Série de   Christopher Kubasik,['drame'],2.0,City,25.0,"['11', 'juillet', '2011']",juillet,2011
116,2 Broke Girls,6.1,Série de   Michael Patrick King et   Whitney Cummings,['comédie'],6.0,CBS,25.0,"['19', 'septembre', '2011']",septembre,2011
117,Alphas,5.9,Série de   Zak Penn et   Michael Karnow,"['science-fiction', 'drame', 'action']",2.0,SyFy,45.0,"['11', 'juillet', '2011']",juillet,2011
118,The Hour,7.6,Série de   Abi Morgan,['drame'],2.0,BBC Two,60.0,"['19', 'juillet', '2011']",juillet,2011
119,Puella Magi Madoka Magica,7.9,"Anime de   Yukihiro Yamamoto,   Akiyuki Shinbo,   Ume Aoki...","['fantastique', 'drame', 'animation']",1.0,Tokyo Broadcasting System,25.0,"['7', 'janvier', '2011']",janvier,2011
