,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie
Les Invincibles,6.9,Série de   Jean-François Rivard et   François Létourneau,Comédie,2 saisons(terminée),Arte,50 min,9 mars 2010
Life Unexpected,6.0,Série de   Liz Tigelaar,Drame,2 saisons(terminée),The CW,45 min,18 janvier 2010
The Hard Times of RJ Berger,5.8,Série de   Seth Grahame-Smith et   David Katzenberg,Comédie,2 saisons(terminée),MTV (US),25 min,6 juin 2010
Hot in Cleveland,6.0,Série de   Suzanne Martin,Comédie,6 saisons(terminée),TV Land,25 min,16 juin 2010
Come Fly With Me,7.7,Série de   David Walliams et   Matt Lucas,Comédie,1 saison(terminée),BBC One,30 min,25 décembre 2010
Vous les femmes,5.4,Série,Comédie et mini-série,3 saisons(terminée),téva,2 min,13 mars 2010
The Gates,5.5,Série de   Richard Hatem,"Fantastique, policier et drame",1 saison(terminée),ABC (US),45 min,20 juin 2010
Durarara!!,7.6,Anime de   Brain's Base et   Ryohgo Narita,"Seinen, action, comédie",2 saisons(terminée),MBS,25 min,8 janvier 2010
Les Recrues de la 15e,6.3,"Série de   Tassie Cameron,   Morwyn Brebner et   Ellen Vanstone",Policier et drame,6 saisons(terminée),Global,43 min,24 juin 2010
Timbré (Terry Pratchett's Going Postal),7.5,"Série de   Richard Kurti,   Bev Doyle et   Terry Pratchett","Mini-série, comédie et fantastique",1 saison(terminée),Sky1,2 h,30 mai 2010
Caprica,6.2,Série de   Remi Aubuchon et   Ronald D. Moore,Science-fiction,1 saison(terminée),SyFy,45 min,22 janvier 2010
The Big C,7.3,Série de   Darlene Hunt,Comédie et drame,4 saisons(terminée),Showtime,30 min,16 août 2010
L'histoire racontée par des chaussettes,6.7,Websérie de   Sébastien De Dominicis (Dédo) et   Yacine Belhousse,Mini-série et comédie,(en cours),YouTube,3 min,29 octobre 2010
Storage Wars : Enchères surprises,5.2,Émission TV,Documentaire,8 saisons(en cours),A&E,25 min,1 décembre 2010
Les Octonauts,5.6,Série,"Action, aventure, animation",3 saisons(en cours),CBeebies,25 min,4 octobre 2010
Vsauce,8.3,Émission Web de   Michael Stevens,Documentaire,(en cours),YouTube,30 min,24 juin 2010
Darker Than Black: Gemini of the Meteor : Black Contractor: Gaiden OVA,7.2,"Anime (OAV) de   Yûji Iwahara,   Komori Takahiro et   Tensai Okamura","Science-fiction, drame, action",1 saison(terminée),25 min,27 janvier 2010,Inconnu
Sungkyunkwan Scandal,7.6,Drama de   Hwang In-Hyuk et   Kim Won-suk,"Comédie, mini-série et drame",1 saison(terminée),KBS TV2,45 min,30 août 2010
Total Drama World Tour,Inconnu,Dessin animé,Comédie et animation,(arrêté),Teletoon,30 min,10 juin 2010
Lost Girl,5.9,Série de   Michelle Lovretta,"Policier, drame, fantasy",5 saisons(terminée),Showcase (CA),45 min,31 août 2010
K-On !!,7.0,Anime de   Kyoto Animation et   Naoko Yamada,"Musique, comédie et animation",(terminée),Tokyo Broadcasting System,25 min,7 avril 2010
JonTron,7.5,Série de   Jon Jafari,Comédie,(en cours),YouTube,15 min,31 août 2010
Stupide Touriste,7.4,Série de   Ricky Gervais et   Stephen Merchant,Comédie et documentaire,3 saisons(terminée),Sky1,1 h,5 septembre 2010
Seitokai Yakuindomo,6.3,Anime de   Hiromitsu Kanazawa et   Tozen Ujiie,Animation et comédie,2 saisons,CTC (JA),25 min,4 juillet 2010
Love/Hate,7.6,Série de   Stuart Carolan,Policier et drame,5 saisons(terminée),RTÉ One,50 min,3 octobre 2010
Quand l'histoire fait dates,8.2,Émission TV de   Patrick Boucheron et   Denis Van Waerebeke,Documentaire et historique,1 saison(terminée),Arte,27 min,17 mars 2018
"Blow Up, l'actualité du cinéma (ou presque)",8.3,Websérie de   Luc Lagier,Documentaire,7 saisons(en cours),Arte,10 min,octobre 2010
Enquêtes archéologiques,7.6,Émission TV de   Agnès Molia et   Nathalie Laville,Documentaire,2 saisons(en cours),Arte,25 min,18 juin 2016
Mobile Suit Gundam Unicorn,7.8,Anime (OAV) de   Kazuhiro Furuhashi,Animation,1 saison(terminée),25 min,20 février 2010,Inconnu
The Ricky Gervais Show,7.5,"Série de   Ricky Gervais,   Stephen Merchant et   Karl Pilkington",Comédie et animation,3 saisons(terminée),HBO,25 min,19 février 2010
Arakawa Under the Bridge,7.1,Anime de   Yukihiro Yamamoto,"Romance, comédie et animation",(terminée),TV Tokyo,25 min,4 avril 2010
Persons Unknown,5.7,Série de   Christopher McQuarrie,Drame et thriller,1 saison(terminée),NBC,45 min,7 juin 2010
Black Mirror,8.1,Série de   Charlie Brooker,"Science-fiction, thriller, anthologique",5 saisons(en cours),Netflix,1 h,4 décembre 2011
Bref.,7.2,Série de   Bruno Muschio et   Kyan Khojandi,Comédie et mini-série,1 saison(terminée),Canal+,2 min,28 août 2011
Homeland,7.0,Série de   Alex Gansa et   Howard Gordon,"Thriller, action, drame",8 saisons(terminée),Showtime,50 min,2 octobre 2011
American Horror Story,7.0,Série de   Ryan Murphy et   Brad Falchuk,"Thriller, Épouvante-horreur, anthologique",9 saisons(en cours),FX,45 min,6 février 2011
Person of Interest,6.6,Série de   Jonathan Nolan,"Action, aventure, drame",5 saisons(terminée),CBS,43 min,22 septembre 2011
Suits : Avocats sur mesure,7.0,Série de   Aaron Korsh,"Judiciaire, comédie et drame",9 saisons(terminée),USA Network,45 min,23 juin 2011
The Killing (US),7.6,Série de   Veena Sud,"Thriller, policier et drame",4 saisons(terminée),Netflix,50 min,3 avril 2011
New Girl,6.6,Série de   Elizabeth Meriwether,Comédie,7 saisons(terminée),FOX (US),25 min,20 septembre 2011
Hunter x Hunter,8.1,Anime de   Hiroshi Koujina et   Yoshihiro Togashi,"Shōnen, comédie, aventure",(terminée),NTV (JP),25 min,2 octobre 2011
Once Upon a Time,5.6,Série de   Adam Horowitz et   Edward Kitsis,"Aventure, drame, fantasy",7 saisons(terminée),ABC (US),43 min,23 octobre 2011
Platane,6.3,Série de   Hafid F. Benamar et   Eric Judor,Comédie,3 saisons(en cours),Canal+,25 min,5 septembre 2011
Falling Skies,5.6,Série de   Robert Rodat,"Science-fiction, thriller et action",5 saisons(terminée),TNT (US),45 min,19 juin 2011
Hell on Wheels,7.0,Série de   Joe Gayton et   Tony Gayton,"Western, drame et action",5 saisons(terminée),AMC,45 min,6 novembre 2011
Bron,7.8,"Série de   Hans Rosenfeldt,   Björn Stein,   Henrik Georgsson...",Policier et drame,4 saisons(terminée),DR1,1 h,21 septembre 2011
